Model,Strategy,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Random Forest,Class Weight,0.981,0.7272727272727273,0.7058823529411765,0.7164179104477612,0.9698879551820729,0.781735703543479
Random Forest,No Handling,0.984,0.9285714285714286,0.5735294117647058,0.7090909090909091,0.9603580562659847,0.80692289040617
Random Forest,SMOTE,0.9675,0.5151515151515151,0.75,0.6107784431137725,0.9663408841797588,0.7358808260679299
SVM,Class Weight,0.915,0.27232142857142855,0.8970588235294118,0.4178082191780822,0.9656558275484107,0.6160562266612287
SVM,No Handling,0.9715,0.8666666666666667,0.19117647058823528,0.3132530120481928,0.9456826208744369,0.6421269131709829
SVM,SMOTE,0.92,0.2830188679245283,0.8823529411764706,0.42857142857142855,0.9651991231275119,0.6226591966471624
XGBoost,Class Weight,0.9835,0.7611940298507462,0.75,0.7555555555555555,0.9696672147119718,0.8281722289400216
XGBoost,No Handling,0.987,0.875,0.7205882352941176,0.7903225806451613,0.9757033248081842,0.8281166783182027
XGBoost,SMOTE,0.9835,0.7397260273972602,0.7941176470588235,0.7659574468085106,0.9702457069784436,0.8362861454600173
